usp_category,usp_class,usp_drug,kegg_id
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,D05513
Analgesics,Nonsteroidal Anti-inflammatory Drugs,sulindac,D00120
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,D02355
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,D00158
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,D08047
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,D00839
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,D00320
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,D01399
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,D08123
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,D00841
Analgesics,"Opioid Analgesics, Long-acting",methadone,D08195
Analgesics,"Opioid Analgesics, Long-acting",methadone,D02102
Analgesics,"Opioid Analgesics, Long-acting",morphine,D08233
Analgesics,"Opioid Analgesics, Long-acting",morphine,D00842
Analgesics,"Opioid Analgesics, Long-acting",morphine,D02271
Analgesics,"Opioid Analgesics, Long-acting",morphine,D08234
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,D05312
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,D00847
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,D02175
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,D03783
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,D05462
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,D08323
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,D00844
Analgesics,"Opioid Analgesics, Long-acting",tramadol,D08623
Analgesics,"Opioid Analgesics, Long-acting",tramadol,D01355
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,D03197
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,D00837
Analgesics,"Opioid Analgesics, Short-acting",codeine,D00195
Analgesics,"Opioid Analgesics, Short-acting",codeine,D02101
Analgesics,"Opioid Analgesics, Short-acting",codeine,D03579
Analgesics,"Opioid Analgesics, Short-acting",codeine,D03580
Analgesics,"Opioid Analgesics, Short-acting",codeine,D07740
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,D00320
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,D01399
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,D08047
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,D00839
Analgesics,"Opioid Analgesics, Short-acting",meperidine,D08343
Analgesics,"Opioid Analgesics, Short-acting",meperidine,D01383
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,D08246
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,D00843
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,D05312
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,D00847
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,D02175
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,D03783
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,D05462
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,D08323
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,D00844
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,D00498
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,D02111
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,D02227
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,D06007
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,D10199
Analgesics,"Opioid Analgesics, Short-acting",tramadol,D08623
Analgesics,"Opioid Analgesics, Short-acting",tramadol,D01355
Anesthetics,Local Anesthetics,lidocaine,D00358
Anesthetics,Local Anesthetics,lidocaine,D02086
Anesthetics,Local Anesthetics,lidocaine,D08127
Anesthetics,Local Anesthetics,lidocaine and prilocaine,D02740
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,D07058
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,D02780
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,disulfiram,D00131
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,D05113
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,D02095
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,D07132
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,D00836
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine/naloxone,D10250
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,D05113
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,D02095
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,D08249
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,D01340
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,D07591
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,D00817
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,D07938
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,D03365
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,D05156
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,D05157
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,D08669
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,D06282
Antibacterials,Aminoglycosides,amikacin,D02543
Antibacterials,Aminoglycosides,amikacin,D00865
Antibacterials,Aminoglycosides,gentamicin,D08013
Antibacterials,Aminoglycosides,gentamicin,D01063
Antibacterials,Aminoglycosides,kanamycin,D00866
Antibacterials,Aminoglycosides,kanamycin,D03262
Antibacterials,Aminoglycosides,neomycin,D08260
Antibacterials,Aminoglycosides,neomycin,D01618
Antibacterials,Aminoglycosides,neomycin,D05141
Antibacterials,Aminoglycosides,neomycin,D05142
Antibacterials,Aminoglycosides,paromomycin,D07467
Antibacterials,Aminoglycosides,paromomycin,D00868
Antibacterials,Aminoglycosides,streptomycin,D08531
Antibacterials,Aminoglycosides,streptomycin,D01350
Antibacterials,Aminoglycosides,tobramycin,D00063
Antibacterials,Aminoglycosides,tobramycin,D02542
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,D00257
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,D02353
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,D02299
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,D00905
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,D02226
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,D00263
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,D00906
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,D03438
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,D00256
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,D02352
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,D02345
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,D00913
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,D07651
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,D00261
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,D00262
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,D00914
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,D00915
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,D03431
Antibacterials,"Beta-lactam, Cephalosporins",cefdinir,D00917
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,D07639
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,D01628
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,D00258
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,D07640
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,D07647
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,D00919
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,D07650
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,D00920
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,D07654
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,D00921
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,D00922
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,D02121
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,D07659
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,D00924
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,D02376
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,D01157
Antibacterials,"Beta-lactam, Cephalosporins",ceftaroline,D08884
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,D07452
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,D00229
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,D02925
Antibacterials,"Beta-lactam, Penicillins",amoxicillin and clavulanate potassium,D00230
Antibacterials,"Beta-lactam, Penicillins",ampicillin,D00204
Antibacterials,"Beta-lactam, Penicillins",ampicillin,D01251
Antibacterials,"Beta-lactam, Penicillins",ampicillin,D02119
Antibacterials,"Beta-lactam, Penicillins",ampicillin,D07570
Antibacterials,"Beta-lactam, Penicillins",ampicillin sodium and sulbactam sodium,D02065
Antibacterials,"Beta-lactam, Penicillins",piperacillin,D08380
Antibacterials,"Beta-lactam, Penicillins",piperacillin,D00466
Antibacterials,"Beta-lactam, Penicillins",piperacillin,D02251
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D02336
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D01053
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D02157
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D02461
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D05408
Antibacterials,"Beta-lactam, Penicillins",penicillin g,D07712
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D05411
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D00497
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D02405
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D02506
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D05413
Antibacterials,"Beta-lactam, Penicillins",penicillin v,D08360
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,D02348
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,D02137
Antibacterials,"Beta-lactam, Penicillins",nafcillin,D08242
Antibacterials,"Beta-lactam, Penicillins",nafcillin,D00928
Antibacterials,"Beta-lactam, Penicillins",oxacillin,D08307
Antibacterials,"Beta-lactam, Penicillins",oxacillin,D00929
Antibacterials,"Beta-lactam, Other",aztreonam,D00240
Antibacterials,"Beta-lactam, Other",aztreonam,D06558
Antibacterials,"Beta-lactam, Other",doripenem,D03895
Antibacterials,"Beta-lactam, Other",doripenem,D01836
Antibacterials,"Beta-lactam, Other",ertapenem,D07908
Antibacterials,"Beta-lactam, Other",ertapenem,D04049
Antibacterials,"Beta-lactam, Other",imipenem and cilastatin sodium,D00344
Antibacterials,"Beta-lactam, Other",meropenem,D08185
Antibacterials,"Beta-lactam, Other",meropenem,D02222
Antibacterials,Macrolides,azithromycin,D07486
Antibacterials,Macrolides,azithromycin,D02134
Antibacterials,Macrolides,azithromycin,D06390
Antibacterials,Macrolides,clarithromycin,D00276
Antibacterials,Macrolides,clarithromycin,D07710
Antibacterials,Macrolides,erythromycin,D00140
Antibacterials,Macrolides,erythromycin,D00851
Antibacterials,Macrolides,erythromycin,D01361
Antibacterials,Macrolides,erythromycin,D02009
Antibacterials,Macrolides,erythromycin,D02184
Antibacterials,Macrolides,erythromycin,D02523
Antibacterials,Macrolides,erythromycin,D02524
Antibacterials,Macrolides,erythromycin,D02525
Antibacterials,Macrolides,erythromycin,D04054
Antibacterials,Macrolides,erythromycin,D07909
Antibacterials,Macrolides,erythromycin,D07910
Antibacterials,Macrolides,fidaxomicin,D09394
Antibacterials,Macrolides,telithromycin,D01078
Antibacterials,Quinolones,besifloxacin,D08872
Antibacterials,Quinolones,ciprofloxacin,D00186
Antibacterials,Quinolones,ciprofloxacin,D02216
Antibacterials,Quinolones,ciprofloxacin,D07702
Antibacterials,Quinolones,gatifloxacin,D08011
Antibacterials,Quinolones,gatifloxacin,D00589
Antibacterials,Quinolones,gemifloxacin,D08012
Antibacterials,Quinolones,gemifloxacin,D02471
Antibacterials,Quinolones,levofloxacin,D08120
Antibacterials,Quinolones,levofloxacin,D00588
Antibacterials,Quinolones,moxifloxacin,D08237
Antibacterials,Quinolones,moxifloxacin,D00874
Antibacterials,Quinolones,norfloxacin,D00210
Antibacterials,Quinolones,norfloxacin,D08287
Antibacterials,Quinolones,ofloxacin,D00453
Antibacterials,Quinolones,ofloxacin,D08291
Antibacterials,Sulfonamides,sulfacetamide,D05947
Antibacterials,Sulfonamides,sulfacetamide,D00871
Antibacterials,Sulfonamides,sulfadiazine,D00587
Antibacterials,Sulfonamides,sulfadiazine,D05949
Antibacterials,Sulfonamides,sulfadiazine,D00433
Antibacterials,Sulfonamides,sulfamethoxazole and trimethoprim,D00285
Antibacterials,Tetracyclines,demeclocycline,D03680
Antibacterials,Tetracyclines,demeclocycline,D00290
Antibacterials,Tetracyclines,doxycycline,D07876
Antibacterials,Tetracyclines,doxycycline,D00307
Antibacterials,Tetracyclines,doxycycline,D02129
Antibacterials,Tetracyclines,doxycycline,D03903
Antibacterials,Tetracyclines,doxycycline,D03904
Antibacterials,Tetracyclines,doxycycline,D07877
Antibacterials,Tetracyclines,minocycline,D05045
Antibacterials,Tetracyclines,minocycline,D00850
Antibacterials,Tetracyclines,tetracycline,D00201
Antibacterials,Tetracyclines,tetracycline,D02122
Antibacterials,Tetracyclines,tetracycline,D06098
Antibacterials,"Antibacterials, Other",trimethoprim,D00145
Antibacterials,"Antibacterials, Other",trimethoprim,D06236
Antibacterials,"Antibacterials, Other",trimethoprim,D08644
Antibacterials,"Antibacterials, Other",vancomycin,D00212
Antibacterials,"Antibacterials, Other",vancomycin,D00926
Antibacterials,"Antibacterials, Other",clindamycin,D00277
Antibacterials,"Antibacterials, Other",clindamycin,D01073
Antibacterials,"Antibacterials, Other",clindamycin,D01990
Antibacterials,"Antibacterials, Other",clindamycin,D02132
Antibacterials,"Antibacterials, Other",clindamycin,D10531
Antibacterials,"Antibacterials, Other",lincomycin,D00223
Antibacterials,"Antibacterials, Other",lincomycin,D02346
Antibacterials,"Antibacterials, Other",nitrofurantoin,D00439
Antibacterials,"Antibacterials, Other",linezolid,D00947
Antibacterials,"Antibacterials, Other",acetic acid,D00010
Antibacterials,"Antibacterials, Other",bacitracin,D00128
Antibacterials,"Antibacterials, Other",bacitracin,D03047
Antibacterials,"Antibacterials, Other",bacitracin,D03048
Antibacterials,"Antibacterials, Other",chloramphenicol,D00104
Antibacterials,"Antibacterials, Other",chloramphenicol,D01072
Antibacterials,"Antibacterials, Other",chloramphenicol,D02185
Antibacterials,"Antibacterials, Other",chloramphenicol,D07674
Antibacterials,"Antibacterials, Other",chloramphenicol,D07675
Antibacterials,"Antibacterials, Other",chloramphenicol,D03461
Antibacterials,"Antibacterials, Other",daptomycin,D01080
Antibacterials,"Antibacterials, Other",fosfomycin,D04253
Antibacterials,"Antibacterials, Other",fosfomycin,D00925
Antibacterials,"Antibacterials, Other",fosfomycin,D02187
Antibacterials,"Antibacterials, Other",fosfomycin,D02188
Antibacterials,"Antibacterials, Other",fosfomycin,D07995
Antibacterials,"Antibacterials, Other",gramicidin,D04369
Antibacterials,"Antibacterials, Other",gramicidin,D02230
Antibacterials,"Antibacterials, Other",mafenide,D02351
Antibacterials,"Antibacterials, Other",mafenide,D01166
Antibacterials,"Antibacterials, Other",mafenide,D04815
Antibacterials,"Antibacterials, Other",methenamine,D00393
Antibacterials,"Antibacterials, Other",methenamine,D00855
Antibacterials,"Antibacterials, Other",methenamine,D00856
Antibacterials,"Antibacterials, Other",methenamine,D08199
Antibacterials,"Antibacterials, Other",metronidazole,D00409
Antibacterials,"Antibacterials, Other",metronidazole,D05016
Antibacterials,"Antibacterials, Other",metronidazole,D05017
Antibacterials,"Antibacterials, Other",metronidazole,D08214
Antibacterials,"Antibacterials, Other",mupirocin,D01076
Antibacterials,"Antibacterials, Other",mupirocin,D02195
Antibacterials,"Antibacterials, Other",polymyxin b,D08401
Antibacterials,"Antibacterials, Other",polymyxin b,D01066
Antibacterials,"Antibacterials, Other",retapamulin,D05720
Antibacterials,"Antibacterials, Other",rifaximin,D02554
Antibacterials,"Antibacterials, Other",telavancin,D06057
Antibacterials,"Antibacterials, Other",tinidazole,D01426
Antibacterials,"Antibacterials, Other",tigecycline,D01079
Anticonvulsants,Calcium Channel Modifying Agents,ethosuximide,D00539
Anticonvulsants,Calcium Channel Modifying Agents,methsuximide,D00404
Anticonvulsants,Calcium Channel Modifying Agents,pregabalin,D02716
Anticonvulsants,Calcium Channel Modifying Agents,zonisamide,D00538
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clobazam,D01253
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clonazepam,D00280
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,D00694
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,D03562
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,diazepam,D00293
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,lorazepam,D00365
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,mephobarbital,D00700
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,D00474
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,divalproex,D00304
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,D00332
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,D09539
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,D00474
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,D08588
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,D02097
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,D00399
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,D00304
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,D00710
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,D08667
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,vigabatrin,D00535
Anticonvulsants,Glutamate Reducing Agents,felbamate,D00536
Anticonvulsants,Glutamate Reducing Agents,lamotrigine,D00354
Anticonvulsants,Glutamate Reducing Agents,perampanel,D08964
Anticonvulsants,Glutamate Reducing Agents,perampanel,D10780
Anticonvulsants,Glutamate Reducing Agents,topiramate,D00537
Anticonvulsants,Sodium Channel Agents,carbamazepine,D00252
Anticonvulsants,Sodium Channel Agents,eslicarbazepine,D09215
Anticonvulsants,Sodium Channel Agents,eslicarbazepine,D09612
Anticonvulsants,Sodium Channel Agents,ethotoin,D00708
Anticonvulsants,Sodium Channel Agents,fosphenytoin,D07993
Anticonvulsants,Sodium Channel Agents,fosphenytoin,D02096
Anticonvulsants,Sodium Channel Agents,fosphenytoin,D07595
Anticonvulsants,Sodium Channel Agents,lacosamide,D07299
Anticonvulsants,Sodium Channel Agents,oxcarbazepine,D00533
Anticonvulsants,Sodium Channel Agents,phenytoin,D00512
Anticonvulsants,Sodium Channel Agents,phenytoin,D02103
Anticonvulsants,Sodium Channel Agents,rufinamide,D05775
Anticonvulsants,"Anticonvulsants, Other",levetiracetam,D00709
Anticonvulsants,"Anticonvulsants, Other",ezogabine,D09569
Antidementia Agents,Cholinesterase Inhibitors,donepezil,D07869
Antidementia Agents,Cholinesterase Inhibitors,donepezil,D00670
Antidementia Agents,Cholinesterase Inhibitors,galantamine,D04292
Antidementia Agents,Cholinesterase Inhibitors,galantamine,D02173
Antidementia Agents,Cholinesterase Inhibitors,rivastigmine,D03822
Antidementia Agents,Cholinesterase Inhibitors,rivastigmine,D02558
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist,memantine,D08174
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist,memantine,D04905
Antidementia Agents,"Antidementia Agents, Other",ergoloid mesylates,D02268
Antidepressants,Monoamine Oxidase Inhibitors,phenelzine,D08349
Antidepressants,Monoamine Oxidase Inhibitors,phenelzine,D00505
Antidepressants,Monoamine Oxidase Inhibitors,selegiline,D03731
Antidepressants,Monoamine Oxidase Inhibitors,selegiline,D00785
Antidepressants,Monoamine Oxidase Inhibitors,tranylcypromine,D08625
Antidepressants,Monoamine Oxidase Inhibitors,tranylcypromine,D00826
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),citalopram,D07704
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),citalopram,D00822
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),citalopram,D07705
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),desvenlafaxine,D07793
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),desvenlafaxine,D02570
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),duloxetine,D07880
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),duloxetine,D01179
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),escitalopram,D07913
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),escitalopram,D02567
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),fluoxetine,D00326
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),fluoxetine,D00823
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),fluvoxamine,D07984
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),fluvoxamine,D00824
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),levomilnacipran,D10072
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),levomilnacipran,D10133
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),maprotiline,D02566
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),maprotiline,D00818
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),nefazodone,D08257
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),nefazodone,D00819
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),paroxetine,D02362
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),paroxetine,D02260
Antidepressants,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),paroxetine,D05374
